,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
FTSJ2,4112,3971,5455,4400,4955,4218,4598,4120,4783,3554,3323,3378,5323,5666,5371,3277
NUDT1,1118,1213,1685,980,1249,1369,844,851,940,998,830,1300,1444,1316,1157,1133
SNX8,3278,3807,3322,949,1002,1120,1052,4400,4474,3426,2710,4041,5676,3198,4814,4177
MIR6836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-1125K23.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
EIF3B,8561,9844,11055,23544,18560,17301,20132,11794,12107,17403,16730,10002,13421,11818,8904,15591
AC004840.8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RP4-607J2.1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
CHST12,637,975,1922,811,597,1143,713,1517,1354,2597,1974,986,1042,1976,1666,3033
GRIFIN,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LFNG,20,32,62,49,49,385,105,26,21,175,527,79,10,24,47,225
MIR4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAT1,4030,4355,6438,6265,3835,7071,5068,6311,6769,7215,4256,4641,5771,6800,4597,7206
IQCE,343,551,543,769,812,2414,1060,794,904,1207,628,646,372,1536,694,1277
TTYH3,11227,16060,15683,7736,8089,8429,3866,23500,15145,31802,19684,25103,12614,11920,16145,29022
AMZ1,955,2814,1626,19,42,27,0,92,16,571,331,49,61,106,1261,24
GNA12,3419,5064,21989,1471,7938,8912,6705,10924,10266,22037,16785,18729,4594,4024,6276,26028
AC006028.11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD11,132,248,668,13,9,0,4,673,1390,5,5,18,1265,1217,1232,78
AC004906.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024028.1,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0
AC091801.1,0,0,0,10,20,8,2,0,4,1,0,0,0,0,0,0
AC073316.2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1
AC073316.1,0,7,11,14,32,37,27,27,15,0,1,0,4,21,4,8
SDK1,33,147,260,310,295,438,125,303,497,216,195,30,66,803,223,179
RP11-30B1.1,0,0,0,2,10,4,0,0,0,0,0,0,0,0,0,0
AC011284.3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
RP11-42B7.1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
RP11-68D19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXK1,701,737,766,702,1388,1737,1250,791,1004,1525,1242,729,883,913,581,1237
AP5Z1,4416,5446,6839,4092,3538,4922,5399,5864,6437,6703,6179,5559,6178,6009,6582,6501
MIR4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIL,19,62,69,241,321,286,260,187,231,120,28,0,10,731,2,108
PAPOLB,0,0,30,10,15,0,0,0,0,0,0,0,0,0,0,0
AC092610.12,3,1,0,1,3,2,6,2,2,1,0,0,0,1,3,0
MMD2,0,2,0,2,93,12,1,0,0,0,0,0,0,0,0,15
RNF216P1,948,1217,1731,2397,2100,2532,2444,1063,1071,1323,1232,962,992,1501,1673,1152
RBAK-RBAKDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-730B22.1,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,1
RP11-730B22.4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
RBAK,716,523,898,1618,2225,1351,1199,793,1041,1380,1197,505,1057,913,622,1228
RBAKDN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OR10AH1P,0,0,4,0,13,0,1,0,0,0,0,0,0,0,0,0
RP11-527E14.1,0,8,2,0,5,2,8,0,0,0,2,0,4,0,8,6
RNU6-215P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIPI2,9006,10383,10179,6776,5931,8009,6032,8243,8205,11971,7484,9170,8629,10568,8126,12540
SLC29A4,630,1084,2673,3738,4055,2646,2078,776,816,3182,1264,204,146,4028,189,3275
TNRC18,204,512,727,403,795,2484,714,637,1189,1042,965,332,531,865,850,691
AC093620.5,10,10,23,26,83,92,14,15,18,6,7,4,0,29,2,20
AC092171.2,4,14,12,7,64,23,15,5,6,9,9,0,2,31,0,6
RP11-1275H24.2,0,0,3,13,14,3,12,5,2,0,0,0,0,0,0,0
RP11-1275H24.1,12,22,24,22,10,50,54,0,10,20,27,4,23,29,4,24
RP11-1275H24.3,12,23,33,45,28,86,22,12,22,12,36,1,21,59,2,27
FBXL18,128,203,316,611,415,530,462,350,312,524,331,251,201,363,178,383
AC092171.4,22,78,68,138,234,382,129,100,134,193,177,63,83,188,26,157
MIR589,0,0,3,1,4,2,3,2,3,0,3,0,0,0,6,0
ACTB,836947,1118495,638710,521138,540792,449340,351614,1070619,1355648,1560198,993666,1204227,1367185,986217,951393,995467
CTB-161C1.1,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0
AC006483.5,14,13,5,2,0,10,2,5,14,4,17,12,3,4,11,4
FSCN1,3129,5447,6243,26410,12975,13529,10907,20938,15674,11918,10889,3566,11488,4285,3571,6796
RNF216,3532,4105,5181,5461,3561,5183,3913,6095,6381,10052,7778,3870,5355,7583,4792,10918
AC006483.7,0,0,0,0,1,0,0,1,1,1,0,5,2,0,0,0
MIR6874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF815P,64,182,174,449,371,184,137,136,207,129,171,84,102,297,198,162
RN7SL556P,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OCM,0,4,0,20,12,2,13,2,5,4,0,0,0,3,2,0
CCZ1,384,329,468,1133,832,967,828,432,431,587,537,346,438,847,735,612
RSPH10B,0,4,0,16,20,2,3,11,16,0,0,1,2,5,4,0
PMS2,733,761,1082,1031,773,1234,784,817,965,1054,846,900,609,1060,837,1159
AIMP2,1242,1305,2262,3590,2186,3558,3532,1451,1657,2079,1803,1596,1722,2356,1953,2135
SNORA80D,0,0,0,4,0,3,0,0,1,0,0,0,4,0,0,0
EIF2AK1,8133,8288,10114,9899,8517,10231,7870,7439,8898,11619,11803,7847,7375,10621,7328,10471
ANKRD61,0,27,21,14,32,8,3,0,8,16,0,0,2,24,0,6
RN7SL851P,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0
RNU6-218P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004895.4,0,4,0,6,16,8,6,1,0,2,2,0,0,2,0,0
USP42,679,733,1300,1630,2446,1829,1586,1032,938,1158,1077,430,844,1300,1504,1303
CYTH3,1648,3480,1591,1525,1499,1403,1444,3336,4295,3522,4816,1780,5885,2398,3120,2791
FAM220A,932,1107,1403,1315,1318,1284,1399,549,669,1135,844,826,834,962,681,921
RP11-425P5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAC1,50391,48131,46962,41281,37652,43541,31220,29439,35387,42449,32637,42984,32057,40542,37716,37058
DAGLB,3469,3540,3759,2040,1634,1367,2135,3337,4706,5490,4089,5559,4312,3105,3995,5065
KDELR2,13253,12655,13432,36920,27345,18539,24927,22986,14026,40655,45398,18144,20955,16577,9464,25351
AC072052.7,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0
GRID2IP,0,0,2,16,2,16,6,7,1,0,0,0,0,11,0,1
ZDHHC4,5606,5612,7045,6302,5903,6085,6359,3548,3021,4494,3323,5220,4030,7015,3852,4311
AC079742.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7orf26,1600,1964,2765,3222,2641,2123,3591,1545,1357,1980,1578,1721,1819,2066,2163,1866
ZNF853,120,325,1445,671,2195,2720,2197,520,525,1290,816,46,151,2173,127,1154
