,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
SEC23B,10.9305365,10.916653,10.8453555,10.640632,10.9086155,10.9206125,10.67128,10.741548,10.5734545,10.764264,10.886659,10.709736
SEC23IP,9.818226,9.463032,8.834795,9.620181,9.561291,9.605097,9.345022,9.376930999999999,8.160945,9.655717999999998,9.632441,9.560641
SEC24A,7.171589999999999,6.688006,6.612289,7.083409,6.811019,6.9938009999999995,7.315161,7.0671029999999995,6.766589,7.445691,7.552109,7.126564
SEC24B,7.3913235,7.158521,7.147607000000001,7.214086,7.09068,7.247575500000001,6.9025485,7.0267075,6.8780405,7.3869335000000005,6.9022795,7.2565990000000005
SEC24C,8.910647500000001,8.975822,8.972242999999999,8.888345,9.126706,8.853448,9.072788000000001,9.024868,8.889073,8.7978,9.1599685,8.925908
SEC24D,7.664219999999999,7.530634,7.4700940000000005,7.77597,7.772154,7.714878,7.820563000000001,7.956164,7.2116039999999995,7.933737,7.790253,8.099484
SEC31B,6.690992999999999,6.693146499999999,6.680092999999999,6.8929615,6.8079765,6.722937,6.712472,6.6829905,6.6087264999999995,6.667451,6.6345965,6.5362365
SEC61A1,12.701511,12.651306,12.514707000000001,12.389797,12.707419,12.406682,12.778997,12.70602,12.318488,12.469605,13.025775999999999,12.482156
SEC61A2,8.595627,8.924534,8.907055,8.452956,8.796863,8.548022999999999,8.665918,8.617848,8.724713000000001,8.649277,8.295134,8.450876
SEC61B,12.502756,12.782492999999999,12.602702,12.718083,12.722406,12.746334,12.849259,12.759492999999999,13.038439,12.560874,12.798336,12.587235
SEC61G,13.0034825,13.286717999999999,13.188118,12.780696,13.0759245,12.9430125,13.0589915,13.0412065,13.536648000000001,12.929486,13.186254000000002,12.852953
SEC62,7.480419,7.697527,7.414544,7.677561999999999,7.683838000000001,7.569195,7.786356,7.893066999999999,6.9667520000000005,7.697158,7.765242,7.580589999999999
SEC63,8.02899,7.8987050000000005,7.5655515,8.1252105,8.016009,8.0353235,8.347698,8.324627,7.8116535,8.0289495,8.0318805,7.973294500000001
SECISBP2,10.04062,10.659857,10.589164,10.769202,10.461437,10.473203999999999,10.366642,10.400157,9.903753,10.442819,10.36398,10.496279
SECISBP2L,9.678988,9.455508,9.441766000000001,9.581671,9.285689999999999,9.199983999999999,9.394786999999999,9.244124000000001,8.913797,9.555157000000001,9.459611,9.324160000000001
